target,year,rank,neighbour,cosine_sim
critical,2026,7,form,0.3367
critical,2026,8,creative,0.3294
critical,2026,9,cultural,0.3249
critical,2026,10,ecological,0.3222
critical,2026,11,materials,0.3205
critical,2026,12,needs,0.3102
system,2020,1,passive,0.3672
system,2020,2,infrastructure,0.3407
system,2020,3,equitable,0.3364
system,2020,4,health,0.3337
system,2020,5,waste,0.3197
system,2020,6,socio,0.3139
system,2020,7,teams,0.3112
system,2020,8,people,0.3044
system,2020,9,earth,0.304
system,2020,10,structural,0.3036
system,2020,11,infrastructural,0.3036
system,2020,12,shared,0.2946
system,2021,1,timber,0.4485
system,2021,2,regenerative,0.3445
system,2021,3,systems,0.3387
system,2021,4,session,0.3302
system,2021,5,adaptive,0.3105
system,2021,6,leed,0.3084
system,2021,7,planet,0.3046
system,2021,8,multi,0.3
system,2021,9,design,0.3
system,2021,10,green,0.2998
system,2021,11,building,0.2945
system,2021,12,self,0.2921
system,2022,1,passive,0.3502
system,2022,2,integration,0.3449
system,2022,3,point,0.3421
system,2022,4,means,0.3287
system,2022,5,solar,0.3208
system,2022,6,performance,0.3195
system,2022,7,provides,0.3181
system,2022,8,prof,0.306
system,2022,9,creating,0.2978
system,2022,10,map,0.2965
system,2022,11,due,0.2938
system,2022,12,holds,0.292
system,2023,1,wide,0.3773
system,2023,2,historical,0.3533
system,2023,3,california,0.3462
system,2023,4,great,0.3402
system,2023,5,lens,0.335
system,2023,6,systems,0.3277
system,2023,7,passive,0.3164
system,2023,8,allow,0.3157
system,2023,9,leadership,0.3064
system,2023,10,discourse,0.3016
system,2023,11,drawings,0.2986
system,2023,12,mass,0.2969
system,2024,1,embodied,0.3453
system,2024,2,planet,0.3235
system,2024,3,play,0.309
system,2024,4,food,0.3084
system,2024,5,park,0.2978
system,2024,6,management,0.2978
system,2024,7,passive,0.2974
system,2024,8,structural,0.2972
system,2024,9,components,0.2967
system,2024,10,responsibility,0.2927
system,2024,11,interventions,0.278
system,2024,12,carbon,0.2779
system,2025,1,teams,0.3636
system,2025,2,begin,0.3608
system,2025,3,large,0.3463
system,2025,4,section,0.3463
system,2025,5,serve,0.346
system,2025,6,digital,0.3425
system,2025,7,socio,0.342
system,2025,8,boston,0.3369
system,2025,9,earth,0.3346
system,2025,10,territory,0.3316
system,2025,11,response,0.3291
system,2025,12,neighborhoods,0.3133
system,2026,1,feedback,0.3061
system,2026,2,scientific,0.3017
system,2026,3,systems,0.2974
system,2026,4,alternative,0.2974
system,2026,5,objectives,0.2957
system,2026,6,maps,0.2949
system,2026,7,technical,0.2917
system,2026,8,principles,0.2902
system,2026,9,climatic,0.2877
system,2026,10,environmental,0.2821
system,2026,11,structural,0.2815
system,2026,12,partners,0.281
space,2020,1,public,0.3831
space,2020,2,provides,0.3426
space,2020,3,session,0.3206
space,2020,4,anthropocene,0.3115
space,2020,5,aims,0.3062
space,2020,6,visual,0.3059
space,2020,7,flooding,0.2841
space,2020,8,approach,0.2765
space,2020,9,investigate,0.2731
space,2020,10,representation,0.2729
space,2020,11,initiative,0.2726
space,2020,12,book,0.2706
space,2021,1,service,0.3585
space,2021,2,design,0.3333
space,2021,3,ecology,0.3191
space,2021,4,reuse,0.3185
space,2021,5,explores,0.3116
space,2021,6,crisis,0.3104
space,2021,7,scenarios,0.3085
space,2021,8,scales,0.3071
space,2021,9,infrastructure,0.2966
space,2021,10,people,0.2951
space,2021,11,networks,0.2951
space,2021,12,exhibition,0.2947
space,2022,1,public,0.3587
space,2022,2,urban,0.3577
space,2022,3,campus,0.3305
space,2022,4,lens,0.3303
space,2022,5,house,0.3284
space,2022,6,media,0.3213
space,2022,7,population,0.3124
space,2022,8,cycle,0.303
space,2022,9,body,0.2986
space,2022,10,scholarship,0.2984
space,2022,11,planning,0.297
space,2022,12,exhibition,0.2918
space,2023,1,map,0.3442
space,2023,2,green,0.3042
space,2023,3,create,0.3009
space,2023,4,testing,0.2971
space,2023,5,speculative,0.2926
space,2023,6,spaces,0.2885
space,2023,7,responsive,0.2815
space,2023,8,early,0.2814
space,2023,9,library,0.2801
space,2023,10,best,0.2757
space,2023,11,explores,0.2751
space,2023,12,design,0.2743
space,2024,1,anthropocene,0.4645
space,2024,2,public,0.4445
space,2024,3,humanities,0.3601
space,2024,4,concept,0.3303
space,2024,5,proposals,0.3286
space,2024,6,speculative,0.3144
space,2024,7,test,0.3045
space,2024,8,scholarship,0.3016
space,2024,9,human,0.2959
space,2024,10,consumption,0.2929
space,2024,11,engagement,0.2918
space,2024,12,interest,0.2839
space,2025,1,fossil,0.4374
space,2025,2,infrastructural,0.4112
space,2025,3,places,0.3373
space,2025,4,concept,0.3347
space,2025,5,boston,0.3246
space,2025,6,culture,0.324
space,2025,7,library,0.3233
space,2025,8,creating,0.3165
space,2025,9,politics,0.3161
space,2025,10,mass,0.3081
