target,year,rank,neighbour,cosine_sim
theory,2020,1,history,0.4901
theory,2020,2,practice,0.4065
theory,2020,3,teaches,0.3426
theory,2020,4,design,0.3294
theory,2020,5,architectural,0.3292
theory,2020,6,ethical,0.3279
theory,2020,7,sciences,0.3261
theory,2020,8,neighborhoods,0.3249
theory,2020,9,architecture,0.3239
theory,2020,10,taught,0.316
theory,2020,11,prior,0.3156
theory,2020,12,arts,0.3099
theory,2021,1,contexts,0.3976
theory,2021,2,engaged,0.3744
theory,2021,3,sustainable,0.3601
theory,2021,4,history,0.3595
theory,2021,5,design,0.3574
theory,2021,6,thinking,0.3518
theory,2021,7,taught,0.3433
theory,2021,8,representation,0.343
theory,2021,9,consider,0.3322
theory,2021,10,lens,0.3274
theory,2021,11,educator,0.327
theory,2021,12,holds,0.3264
theory,2022,1,history,0.6089
theory,2022,2,profession,0.3998
theory,2022,3,virginia,0.3787
theory,2022,4,passive,0.3695
theory,2022,5,integrating,0.3681
theory,2022,6,initiative,0.3678
theory,2022,7,components,0.3671
theory,2022,8,north,0.3649
theory,2022,9,virtual,0.3615
theory,2022,10,teaches,0.354
theory,2022,11,boston,0.3532
theory,2022,12,disciplines,0.3531
theory,2023,1,teaches,0.4349
theory,2023,2,projects,0.3681
theory,2023,3,design,0.3588
theory,2023,4,required,0.3577
theory,2023,5,frameworks,0.3522
theory,2023,6,narrative,0.3301
theory,2023,7,los,0.3225
theory,2023,8,san,0.3224
theory,2023,9,objectives,0.3193
theory,2023,10,architecture,0.3181
theory,2023,11,applied,0.3111
theory,2023,12,angeles,0.304
theory,2024,1,history,0.5089
theory,2024,2,required,0.4103
theory,2024,3,teaches,0.3835
theory,2024,4,engaged,0.3692
theory,2024,5,scales,0.3433
theory,2024,6,discipline,0.332
theory,2024,7,houston,0.3318
theory,2024,8,drawing,0.3305
theory,2024,9,engineering,0.3193
theory,2024,10,california,0.3095
theory,2024,11,designing,0.3091
theory,2024,12,applied,0.3081
theory,2025,1,competition,0.3647
theory,2025,2,integrate,0.3535
theory,2025,3,explores,0.3499
theory,2025,4,awarded,0.3465
theory,2025,5,practice,0.341
theory,2025,6,taught,0.3407
