word,year,count_year,count_other,tokens_year,tokens_other,freq_year_per1k,freq_other_per1k,G2,direction,p_label,significant
development,2022,195,1799,38522,345719,5.062,5.2036,0.135,-,not significant,False
ecological,2022,41,581,38522,345719,1.0643,1.6806,9.137,-,p < 0.01,True
economic,2022,60,381,38522,345719,1.5576,1.1021,5.702,+,p < 0.05,True
energy,2022,97,1097,38522,345719,2.518,3.1731,5.084,-,p < 0.05,True
environment,2022,112,1034,38522,345719,2.9074,2.9909,0.082,-,not significant,False
environmental,2022,192,1944,38522,345719,4.9842,5.6231,2.627,-,not significant,False
experience,2022,49,499,38522,345719,1.272,1.4434,0.738,-,not significant,False
future,2022,95,769,38522,345719,2.4661,2.2243,0.876,+,not significant,False
global,2022,46,715,38522,345719,1.1941,2.0682,15.361,-,p < 0.0001,True
health,2022,35,420,38522,345719,0.9086,1.2149,2.961,-,not significant,False
history,2022,66,556,38522,345719,1.7133,1.6082,0.232,+,not significant,False
housing,2022,52,485,38522,345719,1.3499,1.4029,0.07,-,not significant,False
human,2022,68,564,38522,345719,1.7652,1.6314,0.37,+,not significant,False
impact,2022,48,508,38522,345719,1.246,1.4694,1.248,-,not significant,False
include,2022,39,385,38522,345719,1.0124,1.1136,0.33,-,not significant,False
including,2022,46,569,38522,345719,1.1941,1.6458,4.802,-,p < 0.05,True
infrastructure,2022,58,677,38522,345719,1.5056,1.9582,3.975,-,p < 0.05,True
issues,2022,77,494,38522,345719,1.9989,1.4289,6.915,+,p < 0.01,True
justice,2022,76,552,38522,345719,1.9729,1.5967,2.835,+,not significant,False
knowledge,2022,26,485,38522,345719,0.6749,1.4029,16.552,-,p < 0.0001,True
landscape,2022,62,703,38522,345719,1.6095,2.0334,3.326,-,not significant,False
learning,2022,50,539,38522,345719,1.298,1.5591,1.618,-,not significant,False
level,2022,41,362,38522,345719,1.0643,1.0471,0.01,+,not significant,False
life,2022,34,406,38522,345719,0.8826,1.1744,2.775,-,not significant,False
local,2022,52,506,38522,345719,1.3499,1.4636,0.315,-,not significant,False
master,2022,52,393,38522,345719,1.3499,1.1368,1.298,+,not significant,False
material,2022,103,1063,38522,345719,2.6738,3.0748,1.905,-,not significant,False
materials,2022,72,670,38522,345719,1.8691,1.938,0.086,-,not significant,False
methods,2022,35,408,38522,345719,0.9086,1.1801,2.374,-,not significant,False
module,2022,18,406,38522,345719,0.4673,1.1744,19.622,-,p < 0.0001,True
national,2022,31,372,38522,345719,0.8047,1.076,2.623,-,not significant,False
natural,2022,54,386,38522,345719,1.4018,1.1165,2.316,+,not significant,False
nature,2022,63,336,38522,345719,1.6354,0.9719,12.74,+,p < 0.001,True
performance,2022,34,461,38522,345719,0.8826,1.3335,6.08,-,p < 0.05,True
plan,2022,35,396,38522,345719,0.9086,1.1454,1.842,-,not significant,False
planning,2022,106,654,38522,345719,2.7517,1.8917,11.7,+,p < 0.001,True
practice,2022,77,783,38522,345719,1.9989,2.2648,1.132,-,not significant,False
practices,2022,35,408,38522,345719,0.9086,1.1801,2.374,-,not significant,False
process,2022,52,379,38522,345719,1.3499,1.0963,1.879,+,not significant,False
professional,2022,46,457,38522,345719,1.1941,1.3219,0.444,-,not significant,False
project,2022,107,1129,38522,345719,2.7776,3.2657,2.678,-,not significant,False
projects,2022,113,724,38522,345719,2.9334,2.0942,10.223,+,p < 0.01,True
public,2022,78,794,38522,345719,2.0248,2.2967,1.167,-,not significant,False
resilience,2022,16,436,38522,345719,0.4153,1.2611,27.381,-,p < 0.0001,True
resources,2022,46,415,38522,345719,1.1941,1.2004,0.001,-,not significant,False
scale,2022,74,468,38522,345719,1.921,1.3537,7.188,+,p < 0.01,True
science,2022,28,495,38522,345719,0.7269,1.4318,14.983,-,p < 0.001,True
